alltotal,proportion
4000000.0,0.1
8000000.0,0.1
16000000.0,0.1
24000000.0,0.1
32000000.0,0.1
40000000.0,0.1
48000000.0,0.1
64000000.0,0.1
96000000.0,0.1
128000000.0,0.1
