s2nhead,s2layer,s2dim_feedforward,s2non_embedding,s1nhead,s1layer,s1dim_feedforward,s1non_embedding,ratio_s1/s2,alltotal,actual_total
64,48,2432,33218817,8,100,960,31357441,0.944,64000000.0,64576258
64,64,2944,52707585,32,72,2048,42714369,0.8104,96000000.0,95421954
4,104,2880,83928833,64,24,1600,11485953,0.1369,96000000.0,95414786
32,108,1024,35641089,16,112,704,27749633,0.7786,64000000.0,63390722
1,80,2688,60616961,64,104,1088,36032257,0.5944,96000000.0,96649218
4,96,2496,68000001,1,100,2048,59319041,0.8723,128000000.0,127319042
8,100,2368,67543041,4,120,640,27756801,0.4109,96000000.0,95299842
16,112,2752,86699265,64,32,960,10045697,0.1159,96000000.0,96744962
16,120,1664,59336961,64,108,1088,37417473,0.6306,96000000.0,96754434
1,120,3200,106707201,2,48,1536,22165761,0.2077,128000000.0,128872962
32,128,2624,94871809,1,52,2304,34275073,0.3613,128000000.0,129146882
64,128,3200,113819905,64,52,896,15458561,0.1358,128000000.0,129278466
2,108,3008,90708993,4,52,2432,35985665,0.3967,128000000.0,126694658
1,120,3264,108680961,32,96,576,20629761,0.1898,128000000.0,129310722
1,120,2432,83022081,2,108,1408,46299393,0.5577,128000000.0,129321474
2,100,2816,79056641,2,120,1280,47494401,0.6008,128000000.0,126551042
2,128,2944,105398529,16,32,2304,21098753,0.2002,128000000.0,126497282
16,112,3136,97752321,4,46,2112,28052353,0.287,128000000.0,125804674
2,100,2432,69187841,8,104,1856,56559361,0.8175,128000000.0,125747202
8,100,3072,85635841,8,64,2176,40075521,0.468,128000000.0,125711362
