"Step","FSDP_BT_QAT_20250608_220648 - loss_main","FSDP_BT_QAT_20250608_220648 - loss_main__MIN","FSDP_BT_QAT_20250608_220648 - loss_main__MAX"
"0","13972.61328125","13972.61328125","13972.61328125"
"10","9774.5380859375","9774.5380859375","9774.5380859375"
"20","6717.46240234375","6717.46240234375","6717.46240234375"
"30","4721.1162109375","4721.1162109375","4721.1162109375"
"40","3763.3349609375","3763.3349609375","3763.3349609375"
"50","3122.171630859375","3122.171630859375","3122.171630859375"
"60","2611.79443359375","2611.79443359375","2611.79443359375"
"70","2353.67919921875","2353.67919921875","2353.67919921875"
"80","2287.25244140625","2287.25244140625","2287.25244140625"
"90","2047.262939453125","2047.262939453125","2047.262939453125"
"100","2072.73388671875","2072.73388671875","2072.73388671875"
"110","1937.424072265625","1937.424072265625","1937.424072265625"
"120","1970.73193359375","1970.73193359375","1970.73193359375"
"130","1945.635986328125","1945.635986328125","1945.635986328125"
"140","1754.162109375","1754.162109375","1754.162109375"
"150","1790.1612548828125","1790.1612548828125","1790.1612548828125"
"160","1791.87060546875","1791.87060546875","1791.87060546875"
"170","1675.9716796875","1675.9716796875","1675.9716796875"
"180","1699.961181640625","1699.961181640625","1699.961181640625"
"190","1663.662109375","1663.662109375","1663.662109375"
"200","1624.860107421875","1624.860107421875","1624.860107421875"
"210","1594.6258544921875","1594.6258544921875","1594.6258544921875"
"220","1496.7330322265625","1496.7330322265625","1496.7330322265625"
"230","1517.27001953125","1517.27001953125","1517.27001953125"
"240","1515.1683349609375","1515.1683349609375","1515.1683349609375"
"250","1491.9403076171875","1491.9403076171875","1491.9403076171875"
"260","1439.525390625","1439.525390625","1439.525390625"
"270","1420.2906494140625","1420.2906494140625","1420.2906494140625"
"280","1434.9625244140625","1434.9625244140625","1434.9625244140625"
"290","1388.357177734375","1388.357177734375","1388.357177734375"
"300","1381.8963623046875","1381.8963623046875","1381.8963623046875"
"310","1401.953125","1401.953125","1401.953125"
"320","1373.4085693359375","1373.4085693359375","1373.4085693359375"
"330","1377.89697265625","1377.89697265625","1377.89697265625"
"340","1311.9962158203125","1311.9962158203125","1311.9962158203125"
"350","1299.0076904296875","1299.0076904296875","1299.0076904296875"
"360","1315.607421875","1315.607421875","1315.607421875"
"370","1351.71484375","1351.71484375","1351.71484375"
"380","1287.8197021484375","1287.8197021484375","1287.8197021484375"
"390","1271.4951171875","1271.4951171875","1271.4951171875"
"400","1269.32861328125","1269.32861328125","1269.32861328125"
"410","1268.8580322265625","1268.8580322265625","1268.8580322265625"
"420","1263.562744140625","1263.562744140625","1263.562744140625"
"430","1268.9388427734375","1268.9388427734375","1268.9388427734375"
"440","1242.701171875","1242.701171875","1242.701171875"
"450","1216.3961181640625","1216.3961181640625","1216.3961181640625"
"460","1237.397705078125","1237.397705078125","1237.397705078125"
"470","1267.2584228515625","1267.2584228515625","1267.2584228515625"
"480","1240.8701171875","1240.8701171875","1240.8701171875"
"490","1185.3427734375","1185.3427734375","1185.3427734375"
