"Step","FSDP_BT_QAT_20250608_220648 - learning_rate","FSDP_BT_QAT_20250608_220648 - learning_rate__MIN","FSDP_BT_QAT_20250608_220648 - learning_rate__MAX"
"0","0","0","0"
"10","0.000007047216349541932","0.000007047216349541932","0.000007047216349541932"
"20","0.000014094432699083863","0.000014094432699083863","0.000014094432699083863"
"30","0.000021141649048625795","0.000021141649048625795","0.000021141649048625795"
"40","0.000028188865398167727","0.000028188865398167727","0.000028188865398167727"
"50","0.000035236081747709655","0.000035236081747709655","0.000035236081747709655"
"60","0.00004228329809725159","0.00004228329809725159","0.00004228329809725159"
"70","0.00004933051444679352","0.00004933051444679352","0.00004933051444679352"
"80","0.00005637773079633545","0.00005637773079633545","0.00005637773079633545"
"90","0.00006342494714587737","0.00006342494714587737","0.00006342494714587737"
"100","0.00007047216349541931","0.00007047216349541931","0.00007047216349541931"
"110","0.00007751937984496124","0.00007751937984496124","0.00007751937984496124"
"120","0.00008456659619450318","0.00008456659619450318","0.00008456659619450318"
"130","0.0000916138125440451","0.0000916138125440451","0.0000916138125440451"
"140","0.00009866102889358704","0.00009866102889358704","0.00009866102889358704"
"150","0.00010570824524312897","0.00010570824524312897","0.00010570824524312897"
"160","0.0001127554615926709","0.0001127554615926709","0.0001127554615926709"
"170","0.00011980267794221283","0.00011980267794221283","0.00011980267794221283"
"180","0.00012684989429175475","0.00012684989429175475","0.00012684989429175475"
"190","0.0001338971106412967","0.0001338971106412967","0.0001338971106412967"
"200","0.00014094432699083862","0.00014094432699083862","0.00014094432699083862"
"210","0.00014799154334038057","0.00014799154334038057","0.00014799154334038057"
"220","0.0001550387596899225","0.0001550387596899225","0.0001550387596899225"
"230","0.00016208597603946444","0.00016208597603946444","0.00016208597603946444"
"240","0.00016913319238900636","0.00016913319238900636","0.00016913319238900636"
"250","0.00017618040873854825","0.00017618040873854825","0.00017618040873854825"
"260","0.0001832276250880902","0.0001832276250880902","0.0001832276250880902"
"270","0.00019027484143763212","0.00019027484143763212","0.00019027484143763212"
"280","0.00019732205778717407","0.00019732205778717407","0.00019732205778717407"
"290","0.000204369274136716","0.000204369274136716","0.000204369274136716"
"300","0.00021141649048625794","0.00021141649048625794","0.00021141649048625794"
"310","0.00021846370683579986","0.00021846370683579986","0.00021846370683579986"
"320","0.0002255109231853418","0.0002255109231853418","0.0002255109231853418"
"330","0.00023255813953488373","0.00023255813953488373","0.00023255813953488373"
"340","0.00023960535588442566","0.00023960535588442566","0.00023960535588442566"
"350","0.0002466525722339676","0.0002466525722339676","0.0002466525722339676"
"360","0.0002536997885835095","0.0002536997885835095","0.0002536997885835095"
"370","0.00026074700493305145","0.00026074700493305145","0.00026074700493305145"
"380","0.0002677942212825934","0.0002677942212825934","0.0002677942212825934"
"390","0.0002748414376321353","0.0002748414376321353","0.0002748414376321353"
"400","0.00028188865398167724","0.00028188865398167724","0.00028188865398167724"
"410","0.00028893587033121913","0.00028893587033121913","0.00028893587033121913"
"420","0.00029598308668076114","0.00029598308668076114","0.00029598308668076114"
"430","0.00030303030303030303","0.00030303030303030303","0.00030303030303030303"
"440","0.000310077519379845","0.000310077519379845","0.000310077519379845"
"450","0.0003171247357293869","0.0003171247357293869","0.0003171247357293869"
