"Step","FSDP_BT_QAT_20250608_220648 - total_loss","FSDP_BT_QAT_20250608_220648 - total_loss__MIN","FSDP_BT_QAT_20250608_220648 - total_loss__MAX"
"0","16483.3125","16483.3125","16483.3125"
"10","11724.083984375","11724.083984375","11724.083984375"
"20","8759.833984375","8759.833984375","8759.833984375"
"30","6081.72412109375","6081.72412109375","6081.72412109375"
"40","5800.9736328125","5800.9736328125","5800.9736328125"
"50","4321.62646484375","4321.62646484375","4321.62646484375"
"60","4389.87451171875","4389.87451171875","4389.87451171875"
"70","3051.59326171875","3051.59326171875","3051.59326171875"
"80","4244.36083984375","4244.36083984375","4244.36083984375"
"90","3801.39501953125","3801.39501953125","3801.39501953125"
"100","2654.83203125","2654.83203125","2654.83203125"
"110","3756.64453125","3756.64453125","3756.64453125"
"120","2007.0234375","2007.0234375","2007.0234375"
"130","3633.8818359375","3633.8818359375","3633.8818359375"
"140","2533.259033203125","2533.259033203125","2533.259033203125"
"150","3509.7998046875","3509.7998046875","3509.7998046875"
"160","3322.473388671875","3322.473388671875","3322.473388671875"
"170","3347.802734375","3347.802734375","3347.802734375"
"180","2565.797119140625","2565.797119140625","2565.797119140625"
"190","1694.196044921875","1694.196044921875","1694.196044921875"
"200","2497.4580078125","2497.4580078125","2497.4580078125"
"210","1632.0164794921875","1632.0164794921875","1632.0164794921875"
"220","2674.1748046875","2674.1748046875","2674.1748046875"
"230","2126.86328125","2126.86328125","2126.86328125"
"240","2998.51611328125","2998.51611328125","2998.51611328125"
"250","2173.626220703125","2173.626220703125","2173.626220703125"
"260","2405.614501953125","2405.614501953125","2405.614501953125"
"270","2216.19140625","2216.19140625","2216.19140625"
"280","1966.450439453125","1966.450439453125","1966.450439453125"
"290","1828.53515625","1828.53515625","1828.53515625"
"300","1616.3377685546875","1616.3377685546875","1616.3377685546875"
"310","1760.7305908203125","1760.7305908203125","1760.7305908203125"
"320","1576.0841064453125","1576.0841064453125","1576.0841064453125"
"330","1523.45263671875","1523.45263671875","1523.45263671875"
"340","1675.077392578125","1675.077392578125","1675.077392578125"
"350","1456.7095947265625","1456.7095947265625","1456.7095947265625"
"360","2087.007080078125","2087.007080078125","2087.007080078125"
"370","2741.3046875","2741.3046875","2741.3046875"
