"Step","FSDP_BT_QAT_20250608_220648 - rank_fused_representation_f32","FSDP_BT_QAT_20250608_220648 - rank_fused_representation_f32__MIN","FSDP_BT_QAT_20250608_220648 - rank_fused_representation_f32__MAX"
"0","0.788943350315094","0.788943350315094","0.788943350315094"
"10","0.7929887771606445","0.7929887771606445","0.7929887771606445"
"20","0.7876778841018677","0.7876778841018677","0.7876778841018677"
"30","0.7749473452568054","0.7749473452568054","0.7749473452568054"
"40","0.7548903822898865","0.7548903822898865","0.7548903822898865"
"50","0.7430384755134583","0.7430384755134583","0.7430384755134583"
"60","0.7467421889305115","0.7467421889305115","0.7467421889305115"
"70","0.7487636208534241","0.7487636208534241","0.7487636208534241"
"80","0.7492903470993042","0.7492903470993042","0.7492903470993042"
"90","0.7517560720443726","0.7517560720443726","0.7517560720443726"
"100","0.7552717924118042","0.7552717924118042","0.7552717924118042"
"110","0.7614555358886719","0.7614555358886719","0.7614555358886719"
"120","0.7650606036186218","0.7650606036186218","0.7650606036186218"
"130","0.7642281651496887","0.7642281651496887","0.7642281651496887"
"140","0.7643634080886841","0.7643634080886841","0.7643634080886841"
"150","0.77141273021698","0.77141273021698","0.77141273021698"
"160","0.772550106048584","0.772550106048584","0.772550106048584"
"170","0.7752149701118469","0.7752149701118469","0.7752149701118469"
"180","0.7742605805397034","0.7742605805397034","0.7742605805397034"
"190","0.7748298048973083","0.7748298048973083","0.7748298048973083"
"200","0.7784637808799744","0.7784637808799744","0.7784637808799744"
"210","0.7821498513221741","0.7821498513221741","0.7821498513221741"
"220","0.7860329747200012","0.7860329747200012","0.7860329747200012"
"230","0.7856476306915283","0.7856476306915283","0.7856476306915283"
"240","0.7890841960906982","0.7890841960906982","0.7890841960906982"
"250","0.7856709361076355","0.7856709361076355","0.7856709361076355"
"260","0.7912176847457886","0.7912176847457886","0.7912176847457886"
"270","0.7975272536277771","0.7975272536277771","0.7975272536277771"
"280","0.7952457070350647","0.7952457070350647","0.7952457070350647"
"290","0.7998000979423523","0.7998000979423523","0.7998000979423523"
"300","0.7994586825370789","0.7994586825370789","0.7994586825370789"
"310","0.8022776246070862","0.8022776246070862","0.8022776246070862"
"320","0.8081390857696533","0.8081390857696533","0.8081390857696533"
"330","0.8099471926689148","0.8099471926689148","0.8099471926689148"
"340","0.8081795573234558","0.8081795573234558","0.8081795573234558"
"350","0.8142386674880981","0.8142386674880981","0.8142386674880981"
"360","0.8163611888885498","0.8163611888885498","0.8163611888885498"
"370","0.8209083676338196","0.8209083676338196","0.8209083676338196"
"380","0.8164376616477966","0.8164376616477966","0.8164376616477966"
"390","0.8208931088447571","0.8208931088447571","0.8208931088447571"
"400","0.8230732679367065","0.8230732679367065","0.8230732679367065"
"410","0.8236434459686279","0.8236434459686279","0.8236434459686279"
"420","0.8295574188232422","0.8295574188232422","0.8295574188232422"
"430","0.8288857936859131","0.8288857936859131","0.8288857936859131"
"440","0.8314393162727356","0.8314393162727356","0.8314393162727356"
"450","0.831914484500885","0.831914484500885","0.831914484500885"
"460","0.8345224857330322","0.8345224857330322","0.8345224857330322"
"470","0.8364263772964478","0.8364263772964478","0.8364263772964478"
"480","0.8351750373840332","0.8351750373840332","0.8351750373840332"
"490","0.8376622200012207","0.8376622200012207","0.8376622200012207"
"500","0.8420505523681641","0.8420505523681641","0.8420505523681641"
"510","0.8428272008895874","0.8428272008895874","0.8428272008895874"
"520","0.8415741920471191","0.8415741920471191","0.8415741920471191"
"530","0.8459789156913757","0.8459789156913757","0.8459789156913757"
"540","0.8442897200584412","0.8442897200584412","0.8442897200584412"
"550","0.8424021601676941","0.8424021601676941","0.8424021601676941"
"560","0.8460131883621216","0.8460131883621216","0.8460131883621216"
"570","0.8477551341056824","0.8477551341056824","0.8477551341056824"
"580","0.8517487049102783","0.8517487049102783","0.8517487049102783"
"590","0.8511047959327698","0.8511047959327698","0.8511047959327698"
"600","0.8556616306304932","0.8556616306304932","0.8556616306304932"
"610","0.8545790314674377","0.8545790314674377","0.8545790314674377"
"620","0.8549884557723999","0.8549884557723999","0.8549884557723999"
"630","0.8555059432983398","0.8555059432983398","0.8555059432983398"
"640","0.8557968735694885","0.8557968735694885","0.8557968735694885"
"650","0.8582049012184143","0.8582049012184143","0.8582049012184143"
"660","0.8585975170135498","0.8585975170135498","0.8585975170135498"
"670","0.8594081997871399","0.8594081997871399","0.8594081997871399"
"680","0.8609809279441833","0.8609809279441833","0.8609809279441833"
"690","0.8626545667648315","0.8626545667648315","0.8626545667648315"
"700","0.8618848323822021","0.8618848323822021","0.8618848323822021"
"710","0.8663356304168701","0.8663356304168701","0.8663356304168701"
"720","0.8669090867042542","0.8669090867042542","0.8669090867042542"
"730","0.8686139583587646","0.8686139583587646","0.8686139583587646"
"740","0.869484007358551","0.869484007358551","0.869484007358551"
"750","0.8685762286186218","0.8685762286186218","0.8685762286186218"
"760","0.87104731798172","0.87104731798172","0.87104731798172"
"770","0.8693514466285706","0.8693514466285706","0.8693514466285706"
"780","0.873388409614563","0.873388409614563","0.873388409614563"
"790","0.872977614402771","0.872977614402771","0.872977614402771"
"800","0.8740246295928955","0.8740246295928955","0.8740246295928955"
"810","0.8731263279914856","0.8731263279914856","0.8731263279914856"
"820","0.8758530616760254","0.8758530616760254","0.8758530616760254"
"830","0.879546582698822","0.879546582698822","0.879546582698822"
"840","0.8798922300338745","0.8798922300338745","0.8798922300338745"
"850","0.8800010085105896","0.8800010085105896","0.8800010085105896"
"860","0.8763493895530701","0.8763493895530701","0.8763493895530701"
"870","0.8797073364257812","0.8797073364257812","0.8797073364257812"
"880","0.8820455074310303","0.8820455074310303","0.8820455074310303"
"890","0.8794692158699036","0.8794692158699036","0.8794692158699036"
"900","0.880098283290863","0.880098283290863","0.880098283290863"
"910","0.8814742565155029","0.8814742565155029","0.8814742565155029"
"920","0.8860117197036743","0.8860117197036743","0.8860117197036743"
"930","0.8848844170570374","0.8848844170570374","0.8848844170570374"
"940","0.885195255279541","0.885195255279541","0.885195255279541"
"950","0.8859042525291443","0.8859042525291443","0.8859042525291443"
